"date","close","volume","open","high","low"
"16:00","94.40","448,354","94.34","94.78","93.831"
"2018/08/17","94.3900","305650.0000","94.7500","95.0300","94.2800"
"2018/08/16","94.6500","415140.0000","95.6800","96.0700","94.5200"
"2018/08/15","95.1100","888935.0000","96.4200","97.0900","94.8500"
"2018/08/14","97.1000","355528.0000","96.7400","97.4900","96.0000"
"2018/08/13","96.3800","274943.0000","97.0700","97.6700","96.0200"
"2018/08/10","97.2500","261462.0000","97.7900","98.3300","96.9700"
"2018/08/09","98.5000","436706.0000","98.9000","99.3800","98.2800"
"2018/08/08","99.0800","213719.0000","100.2400","100.3200","98.8900"
"2018/08/07","100.3500","250087.0000","100.3400","102.0500","100.1500"
"2018/08/06","99.9800","304759.0000","99.3700","100.5400","99.1300"
"2018/08/03","99.6600","307975.0000","99.3500","100.1300","99.0010"
"2018/08/02","99.3700","361502.0000","97.0100","100.0400","97.0100"
"2018/08/01","97.7300","610322.0000","98.9200","99.8200","97.1300"
"2018/07/31","99.3500","887781.0000","101.0800","101.8700","98.5000"
"2018/07/30","101.9200","1555919.0000","101.0000","105.3708","99.2400"
"2018/07/27","108.3800","957755.0000","105.9000","108.9900","105.3700"
"2018/07/26","105.7100","906159.0000","107.2300","107.2600","104.4100"
"2018/07/25","106.9500","664783.0000","108.5700","108.5700","105.4500"
"2018/07/24","109.2300","585418.0000","109.1900","111.4200","108.9100"
"2018/07/23","107.9000","196726.0000","107.9500","108.7600","107.7300"
"2018/07/20","108.1300","322479.0000","108.7400","109.0500","108.0300"
"2018/07/19","108.7100","380089.0000","107.5600","109.0550","107.1600"
"2018/07/18","107.6600","409202.0000","107.8400","108.4800","106.9300"
"2018/07/17","107.8300","421623.0000","106.1900","108.6000","106.1900"
"2018/07/16","106.5400","223530.0000","107.5200","107.5200","105.5400"
"2018/07/13","107.3300","246883.0000","106.9100","108.2700","106.1600"
"2018/07/12","106.7600","156846.0000","107.3900","107.3900","105.8700"
"2018/07/11","106.6100","320908.0000","106.5800","107.4200","105.9500"
"2018/07/10","107.6800","227637.0000","107.8300","108.8550","107.3100"
"2018/07/09","108.0900","322636.0000","108.0000","108.5300","106.7900"
"2018/07/06","107.5000","452457.0000","105.9800","108.3800","105.3700"
"2018/07/05","105.9100","301746.0000","106.2400","106.2400","104.1710"
"2018/07/03","105.5700","193875.0000","104.8000","106.4800","104.5300"
"2018/07/02","104.1600","668920.0000","103.9500","105.0450","102.8001"
"2018/06/29","104.9700","509296.0000","105.8100","106.6000","104.9100"
"2018/06/28","105.1700","762726.0000","104.8900","105.5800","102.9800"
"2018/06/27","105.2600","571973.0000","107.2100","107.3100","104.3800"
"2018/06/26","106.8600","356274.0000","107.2200","107.8800","106.1000"
"2018/06/25","107.3100","463329.0000","108.5900","108.5900","106.0700"
"2018/06/22","108.6600","513737.0000","109.5400","109.8600","107.7400"
"2018/06/21","108.5200","424706.0000","111.1700","111.6029","108.2700"
"2018/06/20","111.6000","312530.0000","111.7600","111.9600","110.7634"
"2018/06/19","111.0500","331285.0000","110.9700","111.6400","110.3400"
"2018/06/18","112.3000","394516.0000","111.7100","112.9100","111.0000"
"2018/06/15","112.2200","413186.0000","111.9600","112.8800","111.2500"
"2018/06/14","112.2500","311633.0000","113.4400","113.4400","111.9600"
"2018/06/13","112.9300","1068706.0000","113.6800","115.7500","112.2300"
"2018/06/12","111.9300","288474.0000","111.7900","112.3400","111.1500"
"2018/06/11","111.6900","487797.0000","112.0000","112.6000","110.7200"
